file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,converted_corpus,-45.819843317858556,-45.88350209882182,3.89793929196005,8.171336574209546
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,converted_corpus,-43.808828125,-53.57422080406776,3.8811693907260953,11.443148868500742
F2BJRLP3,0.0,30.7068125,converted_corpus,-46.0040550716379,-46.88732677264355,3.659455927908461,10.226848470182286
F2BJRLP2,0.0,28.6474375,converted_corpus,-45.43411867364747,-45.733520106265416,3.598790752102163,7.922912058235026
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,converted_corpus,-43.25473384533898,-52.347169142503006,2.7196525242301144,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,converted_corpus,-44.835217662693296,-50.93429311116537,2.5633459565624697,12.358243745435463
